Project,Shape,Property Name,Property label,URI
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Unacceptable,https://clm.celeris.se/rm/types/AT_cXmMIUqNEe-lXMAnwStbdQ#_cXmMI0qNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMIUqNEe-lXMAnwStbdQ#_cXmMI0qNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'Initial Severity',,https://clm.celeris.se/rm/types/AD_cc0Dx0qNEe-lXMAnwStbdQ,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,--,https://clm.celeris.se/rm/types/AT_cXmMKEqNEe-lXMAnwStbdQ#_cXmMLkqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMKEqNEe-lXMAnwStbdQ#_cXmMLkqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Catastrophic,https://clm.celeris.se/rm/types/AT_cXmMKEqNEe-lXMAnwStbdQ#_cXmMKUqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMKEqNEe-lXMAnwStbdQ#_cXmMKUqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Critical,https://clm.celeris.se/rm/types/AT_cXmMKEqNEe-lXMAnwStbdQ#_cXmMKkqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMKEqNEe-lXMAnwStbdQ#_cXmMKkqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Minor,https://clm.celeris.se/rm/types/AT_cXmMKEqNEe-lXMAnwStbdQ#_cXmMLEqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMKEqNEe-lXMAnwStbdQ#_cXmMLEqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Negligible,https://clm.celeris.se/rm/types/AT_cXmMKEqNEe-lXMAnwStbdQ#_cXmMLUqNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMKEqNEe-lXMAnwStbdQ#_cXmMLUqNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,,Severe,https://clm.celeris.se/rm/types/AT_cXmMKEqNEe-lXMAnwStbdQ#_cXmMK0qNEe-lXMAnwStbdQ,https://clm.celeris.se/rm/types/AT_cXmMKEqNEe-lXMAnwStbdQ#_cXmMK0qNEe-lXMAnwStbdQ
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'KBS-3 Clab Constraints',,https://dng.skb.se/attr/clabconstraints,
0___Widget_Development_Testing_Area___streams__rm__0___Widget_Development_Testing_Area__DOORS_Next__0___Widget_Development_Testing_Area___streams__rm__Initial_Stream_attributes,'KBS-3 Clink Constraints',,https://dng.skb.se/attr/clinkconstraints,
